"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201467BCEPR_mala","2","SM3622-23",3,"2014","201467BCEPR_mala_rep2_SM3622-23_94","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3623-31",4.625,"2014","201467BCEPR_mala_rep2_SM3623-31_72","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3623-7",4.375,"2014","201467BCEPR_mala_rep2_SM3623-7_63","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SMB2446-2",16.875,"2014","201467BCEPR_mala_rep2_SMB2446-2_92","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",22.125,"2014","201467BCEPR_mala_rep2_TAI8_108","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","TAI8",22.125,"2014","201467BCEPR_mala_rep2_TAI8_74","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","YT1-4",0.875,"2014","201467BCEPR_mala_rep2_YT1-4_58","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","CG1141-1",9,"2014","201468BCEPR_mala_rep1_CG1141-1_50","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","CM4919-1",15.75,"2014","201468BCEPR_mala_rep1_CM4919-1_48","Malambo. Atlantico, Colombia"
"201468BCEPR_mala","1","GM4264-2",16.875,"2014","201468BCEPR_mala_rep1_GM4264-2_34","Malambo. Atlantico, Colombia"
